Word,Score
관리,292.82590528231356
기획,200.6531550035207
서비스,174.00082699739656
사업,166.19810200912022
운영,156.01595931699867
분석,151.32920385798363
지원,137.86187637345586
수립,127.68679331009065
전략,123.26217135133258
고객,120.29357312652468
제품,107.6149884665486
개발,105.92007210905038
작성,105.1076913030415
프로젝트,103.39859265939975
데이터,102.83533522342042
관련,91.86996381357685
개선,91.66145161441115
수행,77.90744666664914
시장,77.31707051126283
신규,70.49276787723782
설계,70.40578475665744
대응,69.08123384628342
전략 수립,69.04168567852243
실행,68.72044249044038
진행,66.97231298788455
기반,66.41421109490241
대한,66.17704291827195
담당,65.96320048225677
발굴,65.86466853540531
제안,64.85378089946286
계획,62.308873049106985
통해,61.93638761254389
커뮤니케이션,61.55714442948047
협업,61.186552511847616
비즈니스,60.873990700092065
통한,60.27995741500931
전반,59.98894800756486
파트너,59.79009761499083
도출,58.653667292540504
목표,54.73789663353686
정의,54.21253356720831
프로세스,52.50876883489586
문제,50.69810676080466
주요,50.246229608038966
지표,49.0144166234557
경험,48.538217096876096
성장,45.09947459553322
프로,39.39072292414474
덕트,37.8371380698692
프로 덕트,37.8371380698692
