Word,Score
강남구,201.817601006256
서울특별시,181.38987254251134
서울시,145.39272119548457
타워,138.53836599187537
빌딩,130.50738625153164
서울,115.33220615125416
테헤란로,111.25833717744965
서울특별시 강남구,110.4308827973087
강남구 테헤란로,102.42947577598828
서초구,86.392762501338
서울시 강남구,70.25685768500367
성동구,66.93978583751313
마포구,65.89899611534858
경기도,55.810681290903744
서울 강남구,55.70946672420822
강남대로,53.132203272235174
성남시,51.197103413458755
영등포구,46.081963048717924
송파구,43.02811637472619
중구,40.652915495531204
분당구,37.07831476295452
성남시 분당구,37.07831476295452
역삼동,36.80549612954836
경기도 성남시,35.307233601470266
서울특별시 서초구,34.975235923355186
디지털로,33.39091327580711
서초구 강남대로,32.32256137457554
센터,30.035871992684687
강남구 강남대로,29.3220068491427
강남,29.280409154451252
관악구,28.588972745894463
스퀘어,28.057644177943747
선릉로,26.68469814342352
강남구 선릉로,25.953623200875064
로길,25.284147353504917
삼성로,25.00234278199937
서울특별시 영등포구,23.881319348401153
서울특별시 성동구,23.211613570122992
서초구 서초대로,22.16403393542348
서초대로,22.16403393542348
봉은사로,21.6436422113752
구로구,21.440077396977273
강남구 봉은사로,21.163239772789648
번길,20.78108542949761
플러스,20.706025933507515
금융,20.27122467851713
구로구 디지털로,19.152390989587673
가산,17.474797552876144
대왕판교로,15.172593204516096
분당구 대왕판교로,13.632931837522298
