Word,Score
기획,197.92119448580507
사업,124.9987452918933
서비스,122.13883667205369
담당자,114.18133570160488
서비스 기획,103.73647079448548
매니저,96.40018121839726
운영,69.14680143838349
개발,61.79690155052498
사업 개발,45.95402755184458
경영,43.265820418624585
전략,42.57621432711264
지원,40.6216455486951
관리,39.91380992891631
프로,37.4456831400037
담당,35.64664563539247
플랫폼,35.37420100080074
덕트,34.99353438515273
프로 덕트,34.99353438515273
회계,32.65155669339792
총무,31.598586938360878
글로벌,28.111586296996947
상품,28.053652287100874
전략기획,27.55985737731311
경영 지원,26.932624792893787
재무회계,26.500763096505658
사업 기획,25.443892096596826
상품 기획,23.74560689099896
데이터,21.998314967056086
컨설턴트,21.061759769911813
덕트 매니저,20.962959798617284
재무,20.8920954702192
프로젝트,20.631843715933346
분석,20.480870558268375
신입,18.53659442275464
교육,18.133957784626144
영기획,18.083093407900417
해외,17.87435791844829
본부,17.718420671180994
브랜드,17.358652462574952
시니어,14.33222069148437
주니어,14.252751131971126
솔루션,14.213712982345605
자년,14.138495035971008
데이터 분석,13.964085393017482
기획 담당자,13.796202471234784
프로젝트 매니저,13.713546504182585
운영 매니저,13.012169232013514
개발 매니저,12.890813953282537
일본,12.360129196260333
영업,11.640440661815079
