Word,Score
스킬,1283.0
오피스,25.316987644507144
관리,14.788466252516294
기획,11.006517633630743
전략,10.808271456429928
분석,10.547658746411031
회계,8.903632815813193
컨설팅,8.012683918709971
사업,7.844480701531764
데이터,6.873222158374008
데이터 분석,5.961886954183962
서비스,5.687139469226535
프로젝트,5.63495064067839
소프트웨어,5.565199451987627
개발,5.009912157614685
디자인,4.685809765330744
전략 기획,4.450543303787669
재무,4.0946204910253
사업 전략,3.8437037608832125
계획,3.3699595339873425
영어,3.3582574832159446
프로젝트 관리,3.2408279895749956
영업,3.110442839280277
비즈니스,2.8182582037394854
보안,2.7828259647353883
작성,2.6769129186868383
시장,2.526866914600126
비즈니스 분석,2.2585304125437062
서비스 관리,2.2579045537410636
기획 컨설팅,2.2481274814245484
사업 계획,2.149100280479822
제안,2.1224944451917738
게임,2.011053207732563
구현,1.8867546345406203
컨설팅 사업,1.8729245862876913
운영,1.8484086481021014
마케팅,1.7601933356951702
제안 작성,1.717189816693135
프로젝트 계획,1.5832194021893728
애자,1.5497157358605713
예산,1.43300502557313
솔루션,1.3568097444648755
능력,1.3400739544148674
실행,1.3171094697219385
분석 시장,1.1019830050549342
시장 분석,1.1019830050549342
시장 조사,1.1019830050549342
조사,1.1019830050549342
정보,1.0350179726856275
정보 보안,1.0350179726856275
