Word,Score
컴퍼니,42.41116886742195
에이,41.89026087592053
코리아,38.001134703197216
엑스,22.6441264440663
페이,22.318437295121367
코퍼레이션,21.568443152815583
테크,20.43391205682499
큐브,17.0
에스,14.429085845571786
랩스,13.0
소프트,12.703735452476074
한국,11.185928977894555
스트로,11.0
파트너,11.0
홀딩스,10.740239490314861
에프,10.635974749365323
어스,10.583502994960178
토스,10.110315733974987
레브잇,10.0
플러스,10.0
현대,9.596224216329755
에이치,9.393594985567539
브이,9.299162811064665
데이터,9.298604260922684
다우기술,9.0
위메이드,9.0
패스트,9.0
프레,9.0
글로벌,8.800649176934812
테크놀로지,8.435633617974528
네트웍,8.401980020482954
웨이,8.121320343559644
케이,8.121320343559644
그레이,8.0
그룹,8.0
센트,8.0
웨이브,8.0
하이퍼,7.765329262600693
인터,7.643729802533561
카드,6.816940677217127
인터 엑스,6.735402727487356
더블유,6.193832365972829
현대 카드,5.903005647829006
이우,5.861796220157718
서비스,4.469713513079837
릭스,3.5251263124745904
릭스 서비스,3.5251263124745904
서비스 코리아,3.5251263124745904
콘센트,3.5251263124745904
콘센트 릭스,3.5251263124745904
