Word,Score
지원,237.7485031817333
이하,219.66611630246368
연봉,181.24235273040915
커피,176.5680843392094
스낵바,176.53843699343014
급성,152.41087721406504
자기계발,144.02168894282838
상위,141.3231194090482
휴가,135.9326837833779
건강검진,134.91603298586386
보너스,127.12477763350734
유연,124.76094226218761
업계,123.02008825831062
평균,123.02008825831062
산업,121.8376713877782
근무,121.30065875117508
선도,117.83618600970361
유망,112.2504319625279
기업,109.19374176280623
이상인,96.03694093809695
편의,90.06275000025171
인원,86.09657808424346
재택근무,85.42344972862259
시설,83.70257336187123
누적,76.73382665694727
투자,76.73382665694727
식대,76.6974642643028
비지,76.45609488564624
원식,64.92572818000903
동호회,57.36191472195545
워크샵,54.30529688791053
대지,54.09588200055728
위인,53.33166013597374
성장,50.81892853306688
스톡옵션,48.98181101160553
장비,48.76811956501011
요원,48.233949048044714
포인트,48.08672145393779
유급,47.44735585308087
복지,45.10536406784364
육아휴직,40.09972008794958
기업인,39.901244949409204
의료,36.68804775153081
기능,33.903297475873934
통신비,32.660540133755454
사내,30.095733853714474
출산휴가,29.20497896716032
원자유,28.547725454489207
대출,26.323762587822188
전문,26.07458529263094
단체,25.266560908469348
어린이,25.065419120831933
보험,22.780869398747413
복장,22.7127446945601
자율,22.7127446945601
연구,20.298170300176736
봉상,18.782897765357315
무식,17.980177302710175
아시아,16.798192226920538
태평양,16.798192226920538
퇴사,16.72183862491684
가입,15.343082979552864
신규,15.343082979552864
하인,14.91378849528404
설명,14.767410747560934
가정,14.667375946647358
양립,14.667375946647358
레시,14.511580683839444
리프,14.511580683839444
직원,14.394258836952464
할인,14.394258836952464
원유,12.520805587228665
이하연,12.084286326855887
수평,11.912170709640893
조직,11.912170709640893
무제한,11.852552191631657
연차,11.852552191631657
비유,10.639803892909889
비명,10.576942500104433
원사,10.528178682933016
이상일,9.4410203092428
이상연,9.43754631247105
카카오,8.952466109107176
원인,8.875588431073282
처스,7.901462714357734
해외,7.227266838570668
유니콘,6.869770052689906
아태평양,6.814354954723247
산업사,6.263482161991332
아기,6.175164042419591
업유,5.536709826504549
프레,5.012892197511809
년일,4.985517688626411
원명,4.90151391514643
보험사,4.711878525918863
연수,4.6043112776631245
스타트업,4.283462617528828
캠프,4.283462617528828
비식,3.851414775444312
장임,3.472243669518261
