Word,Score
기획,197.17555633542457
서비스,135.1939562467143
사업,119.98748480248382
담당자,98.01919732743374
매니저,96.7707406729849
개발,66.53587288793278
운영,63.770186091662765
경영,44.06601705700421
프로,43.8182144190661
덕트,42.090453206995896
지원,41.30243683053401
전략,38.9143265540213
플랫폼,32.745501437182746
관리,32.17672749067449
회계,30.64558703999286
담당,30.510577081460106
상품,29.323432846737873
총무,28.913770392735465
글로벌,25.913465533868862
전략기획,25.459763891021773
재무회계,24.24902546636726
데이터,23.03375958476164
프로젝트,21.706026331409593
분석,21.047520860604585
컨설턴트,19.377162690211723
재무,19.005185738146647
해외,17.767104559538268
영기획,17.37696458565093
신입,17.035760111117682
교육,16.193155349155568
브랜드,15.391915595205921
본부,14.792295958970566
시니어,14.403546489046917
구매,14.200758847586583
주니어,14.106509222419712
자년,13.818468614930067
솔루션,13.575011173642661
리드,13.52139867233587
제품,13.307972467829016
콘텐츠,12.181564022301894
서울,11.627234152258692
일본,11.505516881126516
영업,10.663864171058917
계약,10.605864652359864
정부,10.39701802663747
커머스,9.987564588231752
총괄,9.929545754600547
테크,9.90464857055522
년차,9.822607609754936
인사,9.568206226012238
리더,9.409187283304835
파트너,9.35624238356586
컨설팅,9.089878679425604
자금,9.053182510444822
광고,8.926406425975937
정산,8.721551702869496
체인,8.621775009166518
블록,8.132519199182559
마케팅,7.960562067716204
레이,7.954561139032657
화장품,7.9512522886795765
기술,7.797709777271626
신규,7.619361878581888
게임,7.479151183170027
과제,7.454823823533746
이하,7.292163204700135
커뮤니티,6.915084525236614
마켓,6.8445088482956615
정보보호,6.793710223174507
온라인,6.7915101914130105
식품,6.365671202766583
물류,6.324721869945028
금융,6.196986010907404
기업,6.160893843761967
비즈니스,5.931433428378537
정보보안,5.842090001058755
뷰티,5.831633781110103
오피스,5.548086773768642
비서,5.536967752862901
사무,5.3702076769624965
근무,5.364159411279628
년년,5.289992363373385
카드,5.211579444750212
파트,5.07926683767089
로스,5.028643182397784
행사,4.806483158653535
시스템,4.623899028844548
업무,4.569332519165513
미국,4.512477552865934
현대,4.491404892667674
리서치,4.381877287922912
과장,4.364311324958864
라이브,4.321326421369687
대구,4.17233176201931
모바일,4.132134675306231
실무,3.968500517426598
북미,3.7154146583006153
대리,3.406936959505638
리스크,3.3555119774642104
머셜,3.1855597606063673
