Word,Score
지원,398.7977624041017
제공,196.97168852657634
휴가,168.79513270797443
지급,151.31076409735894
업무,135.9737549430009
근무,123.058769497653
제도,102.51482718599557
운영,102.25912431206886
연차,100.78183469590614
사용,98.24098272752379
만원,98.19825762010434
선물,95.05120551615403
생일,88.98762296197475
사내,81.66177198010165
자율,80.31052668539536
간식,78.75401926746237
성장,77.27872545908268
문화,77.23403039295384
교육,77.104076648538
도서,75.97630304306972
직원,75.49191990341133
명절,75.29319388632997
환경,71.7248886913122
출근,71.57556416682918
건강검진,71.25804075727139
보험,70.25716884668715
장비,70.00637082373846
야근,68.89564316986477
식대,67.95588929480483
출퇴근,66.78741342993648
무제한,65.52312049742447
채용,65.39793264182507
커피,63.54122638113266
근속,62.868089996665205
개인,62.35101926556373
점심,61.184013183820085
회사,60.21692712117497
퇴근,59.21964644530673
경조사,58.74633241060167
가능,57.67585329848811
직무,56.32180285545556
최고,55.41649381538507
위해,55.29429631727585
관련,54.580307978285724
장기,53.036549756229206
전형,50.489966886548466
입사,50.30155181706415
복장,50.163311224247906
음료,50.14385546414821
서류,50.07102254055259
건강,49.65132424267594
최신,49.40835236012017
구성원,49.207049161368055
포상,48.77035590721634
비용,48.604324944343006
구입,47.338472596017205
성과,46.79260715945601
리프,46.786662134798696
교육비,45.92217214857312
가족,45.27406103363772
포인트,44.97498132244639
할인,44.37095196362046
매월,44.02969577490528
진행,43.80542313713067
보상,43.21196824747681
수평,43.04352332242837
축하,42.24864007372249
저녁,41.826397927813204
식사,41.47475115854402
구매,39.994358218870325
면접,39.66864300727089
연봉,38.71236285999904
본인,38.561175916751736
레시,38.36649651100871
선택,38.14591215992573
시차,37.98182758504763
유급,37.541925336458945
세미나,37.377054863776166
프로그램,36.75685610892751
동료,36.63738194624307
종합,36.57242425993454
조직,35.700180400365404
자녀,35.28917892272342
경우,34.842605124077636
조기,34.623562248577414
단위,34.16544453743802
역량,33.6938050909434
이용,33.65592856970489
최대,33.35577254581993
인터뷰,33.27088290042617
협의,33.05564575029091
개월,32.883429739010495
기간,32.85878114054278
몰입,31.423516767446955
합격,30.760130224836583
생활,30.565259577380996
수습,30.205848982373322
통해,29.746754886556552
제출,27.587377167557097
절차,24.013288464090763
