Word,Score
관리,219.88778985564952
기획,161.83991563404388
서비스,144.23963708039022
사업,135.44900016573303
운영,123.61064102089728
분석,120.76977179215363
지원,103.6878297149545
수립,102.99188087229639
전략,100.34262739338322
고객,96.88827165997488
제품,88.75573748292292
프로젝트,86.35438700907442
개발,85.91432792035371
데이터,83.90361661393537
작성,80.91469956936533
개선,74.00482890949307
관련,71.95707212484082
시장,62.256053842590404
수행,60.33628066194934
설계,57.841104451902794
신규,57.04702255246378
실행,57.0405629845004
기반,54.278526784779096
진행,53.74230176757873
대한,53.31420976053931
발굴,53.230480908761116
담당,52.43997217526887
제안,51.510783461038606
통한,50.122710680523426
파트너,49.77670638735624
통해,49.65284323723607
비즈니스,49.627790320193014
협업,49.45364542875801
대응,49.01562661948171
커뮤니케이션,48.91377868816159
회계,48.861988719651016
도출,47.95692398449768
계획,47.45501532026501
전반,47.207257827108016
상품,45.6704184954493
정책,45.56061196935891
정의,44.517385562974184
목표,44.465715420674805
경영,44.039054609712174
플랫폼,43.80762233038737
프로세스,41.33579087021883
문제,41.04739010730168
사용자,40.91472893331262
지표,40.45643243068935
일정,39.79817866278629
주요,39.68642620866406
경험,39.35358210115046
검토,38.01131553714041
자금,37.24319696481466
매출,37.08189252026587
프로,36.87716332595857
부서,36.75383788256876
해결,36.197914157080675
구축,36.1622968562292
성장,35.84095794571759
덕트,35.550879013378776
기능,35.49990103664279
과제,35.31470858497398
마케팅,35.15208223498367
조사,35.016803516016076
기술,34.65532096550531
성과,34.459765265397145
요구사항,34.23024749671733
솔루션,33.757966151708544
외부,32.79653260164987
교육,32.73392161071746
리서치,32.656679001361546
시스템,32.07490385212842
고도화,31.89149345860928
글로벌,31.867788216134684
자산,31.709712544463763
해외,31.416953872137043
이슈,30.99390757499217
브랜드,30.937532723019586
인사이트,30.82560229385238
설정,30.32183614634474
기업,30.313197378571054
회사,30.306759055355624
재무,30.247726796011282
비용,30.09252080644954
정부,29.851106366688512
계약,29.65197443841742
파악,29.24893841789801
가설,28.794662829816854
사항,28.612808772557923
협력,28.118321131104867
환경,27.63208654510315
조직,27.38998964871165
모니터링,27.354405947848335
검증,27.286575625665424
과정,26.0144664170227
역할,25.915906511434933
위해,25.895988094385334
제공,24.294699257501918
달성,24.139183763640897
