Word,Score
강남구,176.81872284155932
서울특별시,151.26616705654314
서울시,108.86347767845007
서울특별시 강남구,92.99182510533684
서울,91.16568012977115
서초구,75.80576436190003
테헤란로,74.308546265797
강남구 테헤란로,69.10960759985936
서울시 강남구,62.451139162310994
성동구,53.733228905094414
마포구,50.61643419355854
경기도,48.368929239726796
서울 강남구,46.383401055188145
5층,44.32688273796505
8층,43.73828107131289
성남시,42.98920647960246
6층,42.58668444744484
3층,41.84870538218149
영등포구,40.62492015540091
4층,40.31490352104918
10층,39.135486536729374
강남대로,38.2739713122777
송파구,36.41157950514488
서울특별시 서초구,35.04278891370503
분당구,34.092212509024066
성남시 분당구,34.092212509024066
2층,34.06131358588235
중구,33.816326934182776
경기도 성남시,31.324385494426565
역삼동,31.270366695190706
7층,30.666571465309946
14층,26.11674592725226
12,25.990067211085233
13층,25.49916674909619
9층,23.895355435038486
14,23.33193166739698
관악구,23.24637401379369
구로구,22.995008436964444
서울특별시 영등포구,22.48328128708946
12층,22.27046753804064
11층,22.143981089981573
서초구 강남대로,22.110130511224156
용산구,21.919373693556878
종로구,21.372370447939137
강남구 강남대로,21.19781815265115
서울특별시 성동구,21.119638917194465
11,18.177814567728305
선릉로,17.994718458224103
강남구 선릉로,17.097127487481487
봉은사로,16.997513358706705
삼성동,16.955837533025363
서울시 서초구,16.8308683900198
10,16.78626809923639
경기,16.771159848225686
26,16.675211816325657
서울 서초구,16.636798501673915
강남구 봉은사로,16.492914008629384
서울특별시 마포구,16.38266612142019
서울시 성동구,15.66271353929405
a동,15.600033706734798
13,15.581621441713295
금천구,15.54992492963325
17,13.797826224341733
22,13.528507427879594
15층,13.491536690071497
언주로,13.386555123026508
서울시 마포구,13.251094417642413
서울 중구,13.052081614080736
16,12.750650876077172
16층,12.47380307107138
왕십리로,12.454047903754104
성남시 수정구,12.39819307884153
수정구,12.39819307884153
스파크플러스,12.294286804006159
역삼로,12.283685347839382
20,12.225044600203104
서울시 송파구,11.966574627007871
강남구 역삼동,11.925224788259431
대치동,11.84809678515796
강남구 역삼로,11.659412072790822
구로구 디지털로,11.57636536422216
디지털로,11.57636536422216
tower,11.272067769069793
타워,11.044234544730678
가산디지털1로,10.610657665254466
금천구 가산디지털1로,10.610657665254466
여의도동,10.360753269055243
서울시 영등포구,10.350051315876101
대왕판교로,10.301436959865196
서초구 서초대로,10.233718918920557
서초대로,10.233718918920557
108,9.76347172118003
강남구 언주로,9.74365247655269
b동,9.681696153663983
분당구 대왕판교로,9.51578662857307
49,8.898960060688319
분당구 판교로,8.298115500193589
판교로,8.298115500193589
374,7.996232902389392
강남대로 374,7.996232902389392
