Word,Score
담당자,115.23888921968314
매니저,97.84980290606282
manager,91.21945136426578
기획자,79.1672724601874
서비스,77.34049537925729
기획,72.88915208718004
pm,72.09392969656245
product,63.01109253015653
서비스 기획자,51.822241524907
운영,47.244086324096116
사업개발,46.779317048962156
po,38.56259510036191
경영지원,37.64820558027831
프로덕트,34.51884154163612
product manager,33.38817686329859
owner,32.88232634566062
product owner,32.471967929422036
담당,28.28713120617434
회계,28.094194814842204
사업,27.416825858582392
전략,26.49886402198697
business,25.525632252193837
플랫폼,25.16000933176758
총무,24.723417659969957
글로벌,24.37356208480304
프로덕트 매니저,22.627502033939592
서비스 기획,22.58657677862076
ai,22.142689631140826
팀장,20.93992068508674
5년,20.929570932389456
개발,19.582272905397947
컨설턴트,19.132722976637996
3년,19.075496729991524
재무회계,19.041979392905485
전략기획,19.029570867848456
관리,18.780074030270352
신입,18.770107025408105
analyst,16.97685268248148
데이터,16.925267843192255
서비스기획자,16.6411491742119
프로젝트,16.097366706169765
bd,16.087664228976305
data,15.475540880055677
사업기획,15.204337029841861
b2b,14.80687032543175
senior,14.77496251467681
development,14.746126569595589
재무,14.226273939016469
staff,14.070531510786893
주니어,14.04228375576873
매니저 pm,13.825587005018575
상품기획,13.469649387363239
project,13.315055196477024
서비스기획,13.298069603746796
경영기획,12.936643655557248
리드,12.84059489614674
project manager,12.699128484767115
시니어,12.39474576935743
사업개발 매니저,12.13273025398961
분석가,11.99530965809172
계약직,11.810365128088149
bm,11.438942188687825
브랜드,11.258384102537185
data analyst,11.236557586122283
일본,11.230134473044759
2년,11.157388416902819
business development,11.06027146569465
프로젝트 매니저,11.058676260162274
해외,10.847711762638275
ceo,10.816707401110119
오너,10.766342351148229
프로덕트 오너,10.766342351148229
콘텐츠,10.718054183244622
strategy,10.501146757658894
서울,10.408476038121297
팀원,9.832003330830812
lead,9.81101748291158
교육,9.811011504811438
operations,9.77200116503204
7년,9.7018413561763
데이터 분석가,9.537344060959246
운영 매니저,9.492112951497141
pm po,9.370450912727069
구매,9.284110009882728
ceo staff,8.997592155776987
사업전략,8.761832605337311
컨설팅,8.685505732380001
it,8.519019826355851
지원,8.422612018176933
development manager,8.349418699999177
인사,8.213136149506656
기획 운영,8.20990760375679
블록체인,8.162411216509115
재무회계 담당자,8.104723068660217
신사업,8.024672825244824
경영,7.787466957309697
솔루션,7.68458869781322
기획자 5년,7.256993018803927
회계 담당자,7.1949662715584175
web3,6.4789904390847965
